-0.052501805,-0.194153295,-0.384390034,0.101294638,0.146747258,-0.246737243,-0.212344624,-0.349913313,-0.037724013,-0.06793295,-0.131053079,0.164196447,0.138131058,-0.309769321,-0.127473892,-0.26228631,0.126104392,-0.190675229,0.143803259,-0.402765259,-0.379048141,0.216779856,0.363483141,-0.068456225
-0.154234337,0.090661941,0.401074803,0.146263557,-0.296753121,-0.486158416,0.524806659,-0.022209761,-0.061881103,0.124690594,0.515862683,0.098619654,-0.252760179,0.111699249,0.114737628,-0.062963571,-0.045383518,-0.123444935,-0.094513458,-0.003156984,-0.180052357,-0.254346379,-0.199427521,0.279183984
0.34568803,0.172456963,0.268393779,-0.085311469,0.180631496,0.288254765,-0.004334539,-0.379975992,0.341860456,0.204884427,0.92830914,0.106011372,-0.107029192,-0.292451294,-0.226804538,-0.331310357,0.591980019,-0.020815592,0.410326006,-0.083737456,0.370655965,-0.173507015,0.290015879,0.271825445
-0.056985426,-0.233519775,0.059019666,-0.108237523,-0.321077595,0.366487092,0.743269538,0.411673676,-0.196257218,-0.191034945,-0.365389591,0.401028369,-0.032067138,-0.010386829,0.323306245,0.080444239,0.032166733,0.421530536,0.141445239,0.889953628,0.334865123,-0.333479963,-0.174111058,-0.198865097
-0.257346397,-0.31237718,0.064115444,0.398435637,0.125542349,-0.016393503,-0.27113635,0.259276115,-0.299514618,-0.055806586,0.194210322,0.135969472,0.39325574,0.067758098,0.309985968,-0.023740245,0.382650576,0.022161956,-0.352732427,-0.407308456,-0.283551952,0.062224699,-0.310761662,0.092640304
0.330583927,-0.152207512,-0.128762762,-0.377434635,-0.004756961,0.183577907,0.791292741,0.158537536,-0.255786934,-0.430479404,-0.010262797,-0.292145903,-0.280544182,-0.10605174,0.305221134,0.159991944,-0.04693517,0.292649547,-0.139241512,-0.06028315,0.027240239,0.149465129,0.136485884,0.067156162
0.391712911,-0.075302689,0.090722568,0.314488362,0.227844778,-0.168840958,0.555379476,-0.282500964,-0.065559316,0.360411927,0.256510489,-0.299577568,0.290283155,0.052470475,-0.095863838,0.163207746,-0.158039517,0.581689957,-0.071151626,-0.158874435,0.19783111,0.038043119,0.049520029,0.033263529
-0.049912458,-0.033531327,0.367903654,0.337447282,0.175577039,0.228864468,-0.034609009,0.163030043,0.334550611,-0.222138502,0.196493099,0.432098863,0.118199749,0.074154592,0.054930089,0.11310989,-0.222512835,-0.092560892,0.161732855,0.09292903,-0.208427748,-0.060466946,-0.01425481,0.302055588
-0.317519824,0.006591483,0.089681723,0.24183312,0.329636457,0.200313398,0.261940054,-0.019140177,0.214669223,-0.313470032,0.623961269,-0.294129422,-0.101023317,-0.199798977,-0.351231347,-0.380810873,0.136063568,0.586042623,0.373133842,0.116687717,0.295549907,0.117912903,0.18105523,-0.192057121
-0.197539349,-0.338424935,0.017257334,-0.327650052,0.319186888,0.249431071,-0.359569689,0.386182107,-0.358873779,-0.104177011,-0.067161658,-0.381629832,-0.252359746,0.264852113,-0.06102551,-0.352068346,0.227641077,0.112439008,-0.126995909,-0.144951162,-0.209962424,0.12052929,0.220687199,-0.148541895
-0.074529934,-0.184177771,-0.138582678,-0.194431364,-0.1354053,-0.18217115,0.42962794,0.071309978,-0.132997193,-0.301542526,0.438389313,-0.044675523,-0.058581186,0.475665509,-0.091609838,-0.147296199,-0.159656917,0.658960776,0.274757725,0.059439803,0.419007298,0.14593737,-0.090215356,-0.310910025
0.07748232,0.24577741,-0.009064954,-0.134430577,0.162275293,-0.25889272,-0.373603412,0.245218888,0.021944024,-0.008420008,-0.162111356,0.311792692,-0.014678926,0.187997352,-0.276396549,0.02520058,-0.334091388,-0.211711819,0.143158032,-0.023386786,-0.188560425,0.110869385,0.132280283,0.359119259
