4,1,0.5,0
3.564924354,1.321602173,0.644005097,0.579080743
3.177155918,1.558418867,0.822168659,1.14501274
2.831555973,1.72541802,1.025022079,1.693466107
2.523586304,1.835011262,1.245010413,2.221424108
2.249122555,1.898152171,1.475593867,2.726471312
2.004458393,1.924259686,1.711319928,3.206861534
1.786406289,1.920582637,1.948350984,3.661944695
1.592116945,1.893231262,2.183626043,4.091509097
1.418981043,1.847673705,2.41446939,4.495488347
1.264632896,1.788695199,2.638627491,4.873994594
1.127039739,1.719839138,2.854732369,5.22769263
1.004441889,1.643780078,3.061992637,5.557550748
0.895218069,1.562934847,3.259726517,5.864508448
0.79788007,1.479479053,3.447351047,6.149470977
0.711081128,1.395277637,3.62444256,6.413361433
0.633698322,1.311451009,3.791082366,6.657384044
0.564756516,1.228785617,3.947527585,6.88277107
0.503349273,1.148013171,4.094016554,7.090667281
0.44863768,1.069811597,4.230769131,7.282131451
0.399850932,0.99479905,4.357992058,7.458141127
0.356330498,0.923293306,4.476072301,7.619741802
0.317544607,0.855319428,4.585553887,7.76800928
0.283001715,0.790905942,4.686934328,7.903932613
0.252241896,0.730091913,4.78066676,8.028424864
0.224836846,0.672926937,4.867159948,8.142323102
0.200390497,0.619466445,4.946782321,8.246391824
0.178572703,0.569616631,5.019981003,8.3414083
0.159125596,0.523169103,5.087240347,8.428114751
0.141808769,0.479944765,5.148996728,8.507187959
0.126395139,0.439787076,5.205649705,8.579254566
0.112670957,0.402562045,5.257562019,8.644891062
0.1004358,0.368158232,5.305059596,8.704623796
0.089508751,0.336461515,5.348450173,8.758941423
0.079758987,0.307264519,5.388081126,8.808322139
0.071072378,0.280383853,5.424257989,8.853185611
0.063340067,0.255655323,5.457261447,8.893921381
0.056458942,0.232930434,5.487350347,8.930891404
0.050331635,0.212076383,5.514761692,8.964430057
0.044866518,0.192976061,5.539710647,8.994844129
0.039983802,0.175511124,5.562400948,9.022417146
0.035628367,0.159540123,5.583033028,9.047404661
0.031748573,0.144943915,5.601781296,9.070032722
0.028295287,0.131612721,5.618808113,9.090512826
0.025221998,0.119445645,5.634264146,9.109042148
0.022484824,0.108350681,5.648288368,9.125803544
0.020042504,0.098244705,5.661008054,9.140965551
0.017860719,0.089045985,5.672541667,9.154680948
0.015915099,0.080675112,5.682994694,9.167079595
0.014182268,0.073062479,5.692461761,9.178279494
0.012640044,0.066143286,5.701031404,9.188391361
0.011267441,0.059857544,5.708786071,9.19751863
0.010044672,0.054150071,5.715802122,9.20575745
0.008953178,0.048970441,5.722149842,9.213196663
0.007978346,0.044271034,5.72789249,9.219914144
0.00710925,0.040009674,5.733083935,9.225974686
0.006335332,0.036148079,5.737773759,9.231438427
0.00564658,0.032650484,5.74200844,9.23636186
0.005033527,0.029483642,5.745831355,9.240797829
0.004487249,0.026616828,5.749282783,9.244795534
0.003999444,0.024021804,5.752399843,9.248400399
0.003563905,0.021673222,5.755214529,9.251650624
0.003175699,0.019549283,5.757753916,9.254578218
0.002830057,0.017629774,5.760043323,9.257213266
0.002522462,0.015895766,5.762106512,9.25958405
0.002248641,0.014329622,5.763965692,9.26171705
0.002004574,0.012914992,5.765641517,9.263636944
0.001786568,0.011636867,5.767152946,9.265366378
0.001591985,0.010482445,5.768515605,9.26692362
0.001418587,0.009440663,5.769742954,9.268324367
0.001264222,0.008501139,5.770847676,9.269583454
0.001126849,0.007654143,5.771841686,9.270714837
0.001004543,0.006890589,5.772736129,9.271731586
0.000895489,0.006202042,5.773541382,9.272645892
0.000798064,0.005580826,5.77426686,9.273468797
0.000711135,0.005020679,5.774920036,9.274208901
0.000633686,0.00451606,5.775507539,9.274873852
0.000564747,0.004061746,5.77603563,9.275470884
0.000503395,0.003652838,5.776510196,9.276006801
0.000448762,0.003284756,5.776936744,9.276487982
0.000400032,0.002953243,5.777320407,9.276920376
0.000356492,0.002654484,5.777665761,9.277309269
0.000317651,0.002385464,5.777976348,9.277658698
0.000283052,0.002143459,5.778255381,9.277972329
0.000252261,0.001925896,5.778505895,9.278253635
0.000224863,0.001730355,5.778730756,9.278505893
0.000200469,0.001554566,5.778932651,9.278732183
0.000178707,0.001396411,5.779114095,9.278935388
0.000159253,0.001253981,5.779277345,9.279118093
0.000141886,0.001125817,5.779424094,9.279282207
0.000126415,0.001010642,5.779555826,9.279429411
0.000112651,0.000907237,5.779673961,9.27956131
0.000100414,0.000814446,5.779779849,9.279679435
8.95304E-05,0.00073117,5.779874771,9.279785241
7.98352E-05,0.000656373,5.779959944,9.279880109
7.11694E-05,0.000589079,5.780036512,9.279965342
6.34274E-05,0.00052856,5.780105316,9.280041888
5.65281E-05,0.000474214,5.780167046,9.280110518
5.03803E-05,0.00042542,5.780222419,9.280172038
4.49012E-05,0.00038161,5.780272092,9.280227191
